,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,category
3740,Brazil,Sorghum,2008,24105,1761,312637,20.22,Low
3741,Brazil,Sorghum,2008,24105,1761,312637,26.94,Low
3742,Brazil,Sorghum,2008,24105,1761,312637,18.8,Low
3743,Brazil,Sorghum,2008,24105,1761,312637,25.96,Low
3744,Brazil,Sorghum,2008,24105,1761,312637,24.26,Low
3745,Brazil,Sorghum,2008,24105,1761,312637,25.54,Low
3746,Brazil,Sorghum,2009,23378,1761,335742,22.25,Low
3747,Brazil,Sorghum,2009,23378,1761,335742,20.78,Low
3748,Brazil,Sorghum,2009,23378,1761,335742,18.38,Low
3749,Brazil,Sorghum,2009,23378,1761,335742,18.38,Low
3750,Brazil,Sorghum,2009,23378,1761,335742,27.39,Low
3751,Brazil,Sorghum,2009,23378,1761,335742,20.78,Low
3752,Brazil,Sorghum,2009,23378,1761,335742,27.39,Low
3753,Brazil,Sorghum,2009,23378,1761,335742,18.84,Low
3754,Brazil,Sorghum,2009,23378,1761,335742,26.3,Low
3755,Brazil,Sorghum,2009,23378,1761,335742,24.98,Low
3756,Brazil,Sorghum,2009,23378,1761,335742,26,Low
3757,Brazil,Sorghum,2010,23172,1761,342580,22.12,Low
3758,Brazil,Sorghum,2010,23172,1761,342580,20.72,Low
3759,Brazil,Sorghum,2010,23172,1761,342580,18.18,Low
3760,Brazil,Sorghum,2010,23172,1761,342580,18.18,Low
3761,Brazil,Sorghum,2010,23172,1761,342580,28.18,Low
3762,Brazil,Sorghum,2010,23172,1761,342580,20.72,Low
3763,Brazil,Sorghum,2010,23172,1761,342580,27.56,Low
3764,Brazil,Sorghum,2010,23172,1761,342580,19.01,Low
3765,Brazil,Sorghum,2010,23172,1761,342580,26.3,Low
3766,Brazil,Sorghum,2010,23172,1761,342580,24.95,Low
3767,Brazil,Sorghum,2010,23172,1761,342580,25.78,Low
3768,Brazil,Sorghum,2011,25497,1761,345026,21.74,Low
3769,Brazil,Sorghum,2011,25497,1761,345026,20.33,Low
3770,Brazil,Sorghum,2011,25497,1761,345026,18.01,Low
3771,Brazil,Sorghum,2011,25497,1761,345026,18.01,Low
3772,Brazil,Sorghum,2011,25497,1761,345026,27.36,Low
3773,Brazil,Sorghum,2011,25497,1761,345026,20.33,Low
3774,Brazil,Sorghum,2011,25497,1761,345026,27.29,Low
3775,Brazil,Sorghum,2011,25497,1761,345026,18.82,Low
3776,Brazil,Sorghum,2011,25497,1761,345026,25.89,Low
3777,Brazil,Sorghum,2011,25497,1761,345026,24.32,Low
3778,Brazil,Sorghum,2011,25497,1761,345026,25.28,Low
3779,Brazil,Sorghum,2012,29317,1761,346583,22.16,Low
3780,Brazil,Sorghum,2012,29317,1761,346583,21.02,Low
3781,Brazil,Sorghum,2012,29317,1761,346583,18.8,Low
3782,Brazil,Sorghum,2012,29317,1761,346583,18.8,Low
3783,Brazil,Sorghum,2012,29317,1761,346583,28.21,Low
3784,Brazil,Sorghum,2012,29317,1761,346583,21.02,Low
3785,Brazil,Sorghum,2012,29317,1761,346583,27.34,Low
3786,Brazil,Sorghum,2012,29317,1761,346583,19.72,Low
3787,Brazil,Sorghum,2012,29317,1761,346583,26.13,Low
3788,Brazil,Sorghum,2012,29317,1761,346583,24.84,Low
3789,Brazil,Sorghum,2012,29317,1761,346583,25.65,Low
3790,Brazil,Sorghum,2013,26817,1761,367778,21.59,Low
3791,Brazil,Sorghum,2013,26817,1761,367778,20.07,Low
3792,Brazil,Sorghum,2013,26817,1761,367778,17.57,Low
3793,Brazil,Sorghum,2013,26817,1761,367778,17.57,Low
3794,Brazil,Sorghum,2013,26817,1761,367778,27.71,Low
3795,Brazil,Sorghum,2013,26817,1761,367778,20.07,Low
3796,Brazil,Sorghum,2013,26817,1761,367778,27.11,Low
3797,Brazil,Sorghum,2013,26817,1761,367778,17.84,Low
3798,Brazil,Sorghum,2013,26817,1761,367778,26.4,Low
3799,Brazil,Sorghum,2013,26817,1761,367778,25.19,Low
3800,Brazil,Sorghum,2013,26817,1761,367778,26.14,Low
3801,Brazil,Soybeans,1990,17322,1761,49695,21.88,Low
3802,Brazil,Soybeans,1990,17322,1761,49695,20.29,Low
3803,Brazil,Soybeans,1990,17322,1761,49695,17.77,Low
3804,Brazil,Soybeans,1990,17322,1761,49695,17.77,Low
3805,Brazil,Soybeans,1990,17322,1761,49695,27.65,Low
3806,Brazil,Soybeans,1990,17322,1761,49695,20.29,Low
3807,Brazil,Soybeans,1990,17322,1761,49695,27.07,Low
3808,Brazil,Soybeans,1990,17322,1761,49695,18.47,Low
3809,Brazil,Soybeans,1990,17322,1761,49695,25.76,Low
3810,Brazil,Soybeans,1990,17322,1761,49695,24.64,Low
3811,Brazil,Soybeans,1990,17322,1761,49695,25.29,Low
3812,Brazil,Soybeans,1991,15533,1761,58349.44,21.43,Low
3813,Brazil,Soybeans,1991,15533,1761,58349.44,20.13,Low
3814,Brazil,Soybeans,1991,15533,1761,58349.44,17.95,Low
3815,Brazil,Soybeans,1991,15533,1761,58349.44,17.95,Low
3816,Brazil,Soybeans,1991,15533,1761,58349.44,27.34,Low
3817,Brazil,Soybeans,1991,15533,1761,58349.44,20.13,Low
3818,Brazil,Soybeans,1991,15533,1761,58349.44,27.21,Low
3819,Brazil,Soybeans,1991,15533,1761,58349.44,19.11,Low
3820,Brazil,Soybeans,1991,15533,1761,58349.44,25.57,Low
3821,Brazil,Soybeans,1991,15533,1761,58349.44,24.25,Low
3822,Brazil,Soybeans,1991,15533,1761,58349.44,25.06,Low
3823,Brazil,Soybeans,1992,20352,1761,67003.89,21.35,Low
3824,Brazil,Soybeans,1992,20352,1761,67003.89,20.21,Low
3825,Brazil,Soybeans,1992,20352,1761,67003.89,17.8,Low
3826,Brazil,Soybeans,1992,20352,1761,67003.89,17.8,Low
3827,Brazil,Soybeans,1992,20352,1761,67003.89,27.58,Low
3828,Brazil,Soybeans,1992,20352,1761,67003.89,20.21,Low
3829,Brazil,Soybeans,1992,20352,1761,67003.89,27.42,Low
3830,Brazil,Soybeans,1992,20352,1761,67003.89,18.72,Low
3831,Brazil,Soybeans,1992,20352,1761,67003.89,25.61,Low
3832,Brazil,Soybeans,1992,20352,1761,67003.89,24.24,Low
3833,Brazil,Soybeans,1992,20352,1761,67003.89,24.97,Low
3834,Brazil,Soybeans,1993,21241,1761,75658.33,21.94,Low
3835,Brazil,Soybeans,1993,21241,1761,75658.33,20.49,Low
3836,Brazil,Soybeans,1993,21241,1761,75658.33,17.93,Low
3837,Brazil,Soybeans,1993,21241,1761,75658.33,17.93,Low
3838,Brazil,Soybeans,1993,21241,1761,75658.33,28.18,Low
3839,Brazil,Soybeans,1993,21241,1761,75658.33,20.49,Low
3840,Brazil,Soybeans,1993,21241,1761,75658.33,26.89,Low
3841,Brazil,Soybeans,1993,21241,1761,75658.33,18.69,Low
3842,Brazil,Soybeans,1993,21241,1761,75658.33,26.06,Low
3843,Brazil,Soybeans,1993,21241,1761,75658.33,24.65,Low
3844,Brazil,Soybeans,1993,21241,1761,75658.33,25.41,Low
3845,Brazil,Soybeans,1994,21632,1761,84312.78,21.91,Low
3846,Brazil,Soybeans,1994,21632,1761,84312.78,20.77,Low
3847,Brazil,Soybeans,1994,21632,1761,84312.78,18.42,Low
3848,Brazil,Soybeans,1994,21632,1761,84312.78,18.42,Low
3849,Brazil,Soybeans,1994,21632,1761,84312.78,27.53,Low
3850,Brazil,Soybeans,1994,21632,1761,84312.78,20.77,Low
3851,Brazil,Soybeans,1994,21632,1761,84312.78,26.9,Low
3852,Brazil,Soybeans,1994,21632,1761,84312.78,19.15,Low
3853,Brazil,Soybeans,1994,21632,1761,84312.78,26.05,Low
3854,Brazil,Soybeans,1994,21632,1761,84312.78,24.71,Low
3855,Brazil,Soybeans,1994,21632,1761,84312.78,25.42,Low
3856,Brazil,Soybeans,1995,21998,1761,92967.22,22.07,Low
3857,Brazil,Soybeans,1995,21998,1761,92967.22,20.61,Low
3858,Brazil,Soybeans,1995,21998,1761,92967.22,18.27,Low
3859,Brazil,Soybeans,1995,21998,1761,92967.22,18.27,Low
3860,Brazil,Soybeans,1995,21998,1761,92967.22,27.52,Low
3861,Brazil,Soybeans,1995,21998,1761,92967.22,20.61,Low
3862,Brazil,Soybeans,1995,21998,1761,92967.22,27.34,Low
3863,Brazil,Soybeans,1995,21998,1761,92967.22,18.89,Low
3864,Brazil,Soybeans,1995,21998,1761,92967.22,26.05,Low
3865,Brazil,Soybeans,1995,21998,1761,92967.22,24.77,Low
3866,Brazil,Soybeans,1995,21998,1761,92967.22,25.65,Low
3867,Brazil,Soybeans,1996,22493,1761,101621.67,21.56,Low
3868,Brazil,Soybeans,1996,22493,1761,101621.67,20.18,Low
3869,Brazil,Soybeans,1996,22493,1761,101621.67,17.83,Low
3870,Brazil,Soybeans,1996,22493,1761,101621.67,17.83,Low
3871,Brazil,Soybeans,1996,22493,1761,101621.67,27.6,Low
3872,Brazil,Soybeans,1996,22493,1761,101621.67,20.18,Low
3873,Brazil,Soybeans,1996,22493,1761,101621.67,27.07,Low
3874,Brazil,Soybeans,1996,22493,1761,101621.67,18.63,Low
3875,Brazil,Soybeans,1996,22493,1761,101621.67,25.94,Low
3876,Brazil,Soybeans,1996,22493,1761,101621.67,24.28,Low
3877,Brazil,Soybeans,1996,22493,1761,101621.67,25.45,Low
3878,Brazil,Soybeans,1997,22977,1761,110276.11,21.91,Low
3879,Brazil,Soybeans,1997,22977,1761,110276.11,20.77,Low
3880,Brazil,Soybeans,1997,22977,1761,110276.11,18.36,Low
3881,Brazil,Soybeans,1997,22977,1761,110276.11,18.36,Low
3882,Brazil,Soybeans,1997,22977,1761,110276.11,27.85,Low
3883,Brazil,Soybeans,1997,22977,1761,110276.11,20.77,Low
3884,Brazil,Soybeans,1997,22977,1761,110276.11,27.57,Low
3885,Brazil,Soybeans,1997,22977,1761,110276.11,19.12,Low
3886,Brazil,Soybeans,1997,22977,1761,110276.11,25.96,Low
3887,Brazil,Soybeans,1997,22977,1761,110276.11,24.71,Low
3888,Brazil,Soybeans,1997,22977,1761,110276.11,25.2,Low
3889,Brazil,Soybeans,1998,23533,1761,118930.56,22.35,Low
3890,Brazil,Soybeans,1998,23533,1761,118930.56,20.71,Low
3891,Brazil,Soybeans,1998,23533,1761,118930.56,18.2,Low
3892,Brazil,Soybeans,1998,23533,1761,118930.56,18.2,Low
3893,Brazil,Soybeans,1998,23533,1761,118930.56,28.76,Low
3894,Brazil,Soybeans,1998,23533,1761,118930.56,20.71,Low
3895,Brazil,Soybeans,1998,23533,1761,118930.56,27.54,Low
3896,Brazil,Soybeans,1998,23533,1761,118930.56,18.49,Low
3897,Brazil,Soybeans,1998,23533,1761,118930.56,26.63,Low
3898,Brazil,Soybeans,1998,23533,1761,118930.56,24.78,Low
3899,Brazil,Soybeans,1998,23533,1761,118930.56,26.08,Low
3900,Brazil,Soybeans,1999,23724,1761,127585,21.59,Low
3901,Brazil,Soybeans,1999,23724,1761,127585,20.04,Low
3902,Brazil,Soybeans,1999,23724,1761,127585,17.66,Low
3903,Brazil,Soybeans,1999,23724,1761,127585,17.66,Low
3904,Brazil,Soybeans,1999,23724,1761,127585,27.64,Low
3905,Brazil,Soybeans,1999,23724,1761,127585,20.04,Low
3906,Brazil,Soybeans,1999,23724,1761,127585,26.66,Low
3907,Brazil,Soybeans,1999,23724,1761,127585,18.39,Low
3908,Brazil,Soybeans,1999,23724,1761,127585,25.88,Low
3909,Brazil,Soybeans,1999,23724,1761,127585,24.01,Low
3910,Brazil,Soybeans,1999,23724,1761,127585,25.32,Low
3911,Brazil,Soybeans,2000,24033,1761,140423,21.69,Low
3912,Brazil,Soybeans,2000,24033,1761,140423,20.32,Low
3913,Brazil,Soybeans,2000,24033,1761,140423,18.01,Low
3914,Brazil,Soybeans,2000,24033,1761,140423,18.01,Low
3915,Brazil,Soybeans,2000,24033,1761,140423,27.5,Low
3916,Brazil,Soybeans,2000,24033,1761,140423,20.32,Low
3917,Brazil,Soybeans,2000,24033,1761,140423,26.82,Low
3918,Brazil,Soybeans,2000,24033,1761,140423,18.65,Low
3919,Brazil,Soybeans,2000,24033,1761,140423,25.71,Low
3920,Brazil,Soybeans,2000,24033,1761,140423,24.36,Low
3921,Brazil,Soybeans,2000,24033,1761,140423,25.35,Low
3922,Brazil,Soybeans,2001,27105,1761,151523,22.14,Low
3923,Brazil,Soybeans,2001,27105,1761,151523,20.96,Low
3924,Brazil,Soybeans,2001,27105,1761,151523,18.67,Low
3925,Brazil,Soybeans,2001,27105,1761,151523,18.67,Low
3926,Brazil,Soybeans,2001,27105,1761,151523,27.69,Low
3927,Brazil,Soybeans,2001,27105,1761,151523,20.96,Low
3928,Brazil,Soybeans,2001,27105,1761,151523,27.08,Low
3929,Brazil,Soybeans,2001,27105,1761,151523,19.73,Low
3930,Brazil,Soybeans,2001,27105,1761,151523,26.08,Low
3931,Brazil,Soybeans,2001,27105,1761,151523,24.99,Low
3932,Brazil,Soybeans,2001,27105,1761,151523,25.59,Low
3933,Brazil,Soybeans,2002,25739,1761,145552,22.5,Low
3934,Brazil,Soybeans,2002,25739,1761,145552,21.3,Low
3935,Brazil,Soybeans,2002,25739,1761,145552,19.09,Low
3936,Brazil,Soybeans,2002,25739,1761,145552,19.09,Low
3937,Brazil,Soybeans,2002,25739,1761,145552,27.85,Low
3938,Brazil,Soybeans,2002,25739,1761,145552,21.3,Low
3939,Brazil,Soybeans,2002,25739,1761,145552,27.27,Low
3940,Brazil,Soybeans,2002,25739,1761,145552,19.49,Low
3941,Brazil,Soybeans,2002,25739,1761,145552,26.01,Low
3942,Brazil,Soybeans,2002,25739,1761,145552,25.18,Low
3943,Brazil,Soybeans,2002,25739,1761,145552,25.56,Low
3944,Brazil,Soybeans,2004,23005,1761,214725,21.59,Low
3945,Brazil,Soybeans,2004,23005,1761,214725,20.05,Low
3946,Brazil,Soybeans,2004,23005,1761,214725,17.88,Low
3947,Brazil,Soybeans,2004,23005,1761,214725,17.88,Low
3948,Brazil,Soybeans,2004,23005,1761,214725,27.72,Low
3949,Brazil,Soybeans,2004,23005,1761,214725,20.05,Low
3950,Brazil,Soybeans,2004,23005,1761,214725,27.24,Low
3951,Brazil,Soybeans,2004,23005,1761,214725,18.75,Low
3952,Brazil,Soybeans,2004,23005,1761,214725,25.94,Low
3953,Brazil,Soybeans,2004,23005,1761,214725,24.24,Low
3954,Brazil,Soybeans,2004,23005,1761,214725,25.37,Low
3955,Brazil,Soybeans,2005,22303,1761,232232,22.05,Low
3956,Brazil,Soybeans,2005,22303,1761,232232,20.78,Low
3957,Brazil,Soybeans,2005,22303,1761,232232,18.53,Low
3958,Brazil,Soybeans,2005,22303,1761,232232,18.53,Low
3959,Brazil,Soybeans,2005,22303,1761,232232,28.17,Low
3960,Brazil,Soybeans,2005,22303,1761,232232,20.78,Low
3961,Brazil,Soybeans,2005,22303,1761,232232,27.6,Low
3962,Brazil,Soybeans,2005,22303,1761,232232,19.42,Low
3963,Brazil,Soybeans,2005,22303,1761,232232,26.27,Low
3964,Brazil,Soybeans,2005,22303,1761,232232,24.79,Low
3965,Brazil,Soybeans,2005,22303,1761,232232,25.7,Low
3966,Brazil,Soybeans,2006,23796,1761,238716,21.82,Low
3967,Brazil,Soybeans,2006,23796,1761,238716,20.6,Low
3968,Brazil,Soybeans,2006,23796,1761,238716,18.47,Low
3969,Brazil,Soybeans,2006,23796,1761,238716,18.47,Low
3970,Brazil,Soybeans,2006,23796,1761,238716,27.76,Low
3971,Brazil,Soybeans,2006,23796,1761,238716,20.6,Low
3972,Brazil,Soybeans,2006,23796,1761,238716,27.34,Low
3973,Brazil,Soybeans,2006,23796,1761,238716,19.35,Low
3974,Brazil,Soybeans,2006,23796,1761,238716,26.26,Low
3975,Brazil,Soybeans,2006,23796,1761,238716,24.57,Low
3976,Brazil,Soybeans,2006,23796,1761,238716,25.41,Low
3977,Brazil,Soybeans,2007,28133,1761,304031,22.19,Low
3978,Brazil,Soybeans,2007,28133,1761,304031,20.93,Low
3979,Brazil,Soybeans,2007,28133,1761,304031,18.66,Low
3980,Brazil,Soybeans,2007,28133,1761,304031,18.66,Low
3981,Brazil,Soybeans,2007,28133,1761,304031,27.92,Low
3982,Brazil,Soybeans,2007,28133,1761,304031,20.93,Low
3983,Brazil,Soybeans,2007,28133,1761,304031,27.32,Low
3984,Brazil,Soybeans,2007,28133,1761,304031,19.05,Low
3985,Brazil,Soybeans,2007,28133,1761,304031,25.95,Low
3986,Brazil,Soybeans,2007,28133,1761,304031,24.78,Low
3987,Brazil,Soybeans,2007,28133,1761,304031,25.44,Low
3988,Brazil,Soybeans,2008,28162,1761,312637,21.86,Low
3989,Brazil,Soybeans,2008,28162,1761,312637,20.22,Low
3990,Brazil,Soybeans,2008,28162,1761,312637,17.88,Low
3991,Brazil,Soybeans,2008,28162,1761,312637,17.88,Low
3992,Brazil,Soybeans,2008,28162,1761,312637,27.54,Low
3993,Brazil,Soybeans,2008,28162,1761,312637,20.22,Low
3994,Brazil,Soybeans,2008,28162,1761,312637,26.94,Low
3995,Brazil,Soybeans,2008,28162,1761,312637,18.8,Low
3996,Brazil,Soybeans,2008,28162,1761,312637,25.96,Low
3997,Brazil,Soybeans,2008,28162,1761,312637,24.26,Low
3998,Brazil,Soybeans,2008,28162,1761,312637,25.54,Low
3999,Brazil,Soybeans,2009,26365,1761,335742,22.25,Low
4000,Brazil,Soybeans,2009,26365,1761,335742,20.78,Low
4001,Brazil,Soybeans,2009,26365,1761,335742,18.38,Low
4002,Brazil,Soybeans,2009,26365,1761,335742,18.38,Low
4003,Brazil,Soybeans,2009,26365,1761,335742,27.39,Low
4004,Brazil,Soybeans,2009,26365,1761,335742,20.78,Low
4005,Brazil,Soybeans,2009,26365,1761,335742,27.39,Low
4006,Brazil,Soybeans,2009,26365,1761,335742,18.84,Low
4007,Brazil,Soybeans,2009,26365,1761,335742,26.3,Low
4008,Brazil,Soybeans,2009,26365,1761,335742,24.98,Low
4009,Brazil,Soybeans,2009,26365,1761,335742,26,Low
4010,Brazil,Soybeans,2010,29475,1761,342580,22.12,Low
4011,Brazil,Soybeans,2010,29475,1761,342580,20.72,Low
4012,Brazil,Soybeans,2010,29475,1761,342580,18.18,Low
4013,Brazil,Soybeans,2010,29475,1761,342580,18.18,Low
4014,Brazil,Soybeans,2010,29475,1761,342580,28.18,Low
4015,Brazil,Soybeans,2010,29475,1761,342580,20.72,Low
4016,Brazil,Soybeans,2010,29475,1761,342580,27.56,Low
4017,Brazil,Soybeans,2010,29475,1761,342580,19.01,Low
4018,Brazil,Soybeans,2010,29475,1761,342580,26.3,Low
4019,Brazil,Soybeans,2010,29475,1761,342580,24.95,Low
4020,Brazil,Soybeans,2010,29475,1761,342580,25.78,Low
4021,Brazil,Soybeans,2011,31214,1761,345026,21.74,Low
4022,Brazil,Soybeans,2011,31214,1761,345026,20.33,Low
4023,Brazil,Soybeans,2011,31214,1761,345026,18.01,Low
4024,Brazil,Soybeans,2011,31214,1761,345026,18.01,Low
4025,Brazil,Soybeans,2011,31214,1761,345026,27.36,Low
4026,Brazil,Soybeans,2011,31214,1761,345026,20.33,Low
4027,Brazil,Soybeans,2011,31214,1761,345026,27.29,Low
4028,Brazil,Soybeans,2011,31214,1761,345026,18.82,Low
4029,Brazil,Soybeans,2011,31214,1761,345026,25.89,Low
4030,Brazil,Soybeans,2011,31214,1761,345026,24.32,Low
4031,Brazil,Soybeans,2011,31214,1761,345026,25.28,Low
4032,Brazil,Soybeans,2012,26366,1761,346583,22.16,Low
4033,Brazil,Soybeans,2012,26366,1761,346583,21.02,Low
4034,Brazil,Soybeans,2012,26366,1761,346583,18.8,Low
4035,Brazil,Soybeans,2012,26366,1761,346583,18.8,Low
4036,Brazil,Soybeans,2012,26366,1761,346583,28.21,Low
4037,Brazil,Soybeans,2012,26366,1761,346583,21.02,Low
4038,Brazil,Soybeans,2012,26366,1761,346583,27.34,Low
4039,Brazil,Soybeans,2012,26366,1761,346583,19.72,Low
4040,Brazil,Soybeans,2012,26366,1761,346583,26.13,Low
4041,Brazil,Soybeans,2012,26366,1761,346583,24.84,Low
4042,Brazil,Soybeans,2012,26366,1761,346583,25.65,Low
4043,Brazil,Soybeans,2013,29285,1761,367778,21.59,Low
4044,Brazil,Soybeans,2013,29285,1761,367778,20.07,Low
4045,Brazil,Soybeans,2013,29285,1761,367778,17.57,Low
4046,Brazil,Soybeans,2013,29285,1761,367778,17.57,Low
4047,Brazil,Soybeans,2013,29285,1761,367778,27.71,Low
4048,Brazil,Soybeans,2013,29285,1761,367778,20.07,Low
4049,Brazil,Soybeans,2013,29285,1761,367778,27.11,Low
4050,Brazil,Soybeans,2013,29285,1761,367778,17.84,Low
4051,Brazil,Soybeans,2013,29285,1761,367778,26.4,Low
4052,Brazil,Soybeans,2013,29285,1761,367778,25.19,Low
4053,Brazil,Soybeans,2013,29285,1761,367778,26.14,Low
4054,Brazil,Sweet potatoes,1990,101661,1761,49695,21.88,Low
4055,Brazil,Sweet potatoes,1990,101661,1761,49695,20.29,Low
4056,Brazil,Sweet potatoes,1990,101661,1761,49695,17.77,Low
4057,Brazil,Sweet potatoes,1990,101661,1761,49695,17.77,Low
4058,Brazil,Sweet potatoes,1990,101661,1761,49695,27.65,Low
4059,Brazil,Sweet potatoes,1990,101661,1761,49695,20.29,Low
4060,Brazil,Sweet potatoes,1990,101661,1761,49695,27.07,Low
4061,Brazil,Sweet potatoes,1990,101661,1761,49695,18.47,Low
4062,Brazil,Sweet potatoes,1990,101661,1761,49695,25.76,Low
4063,Brazil,Sweet potatoes,1990,101661,1761,49695,24.64,Low
4064,Brazil,Sweet potatoes,1990,101661,1761,49695,25.29,Low
4065,Brazil,Sweet potatoes,1991,101504,1761,58349.44,21.43,Low
4066,Brazil,Sweet potatoes,1991,101504,1761,58349.44,20.13,Low
4067,Brazil,Sweet potatoes,1991,101504,1761,58349.44,17.95,Low
4068,Brazil,Sweet potatoes,1991,101504,1761,58349.44,17.95,Low
4069,Brazil,Sweet potatoes,1991,101504,1761,58349.44,27.34,Low
4070,Brazil,Sweet potatoes,1991,101504,1761,58349.44,20.13,Low
4071,Brazil,Sweet potatoes,1991,101504,1761,58349.44,27.21,Low
4072,Brazil,Sweet potatoes,1991,101504,1761,58349.44,19.11,Low
4073,Brazil,Sweet potatoes,1991,101504,1761,58349.44,25.57,Low
4074,Brazil,Sweet potatoes,1991,101504,1761,58349.44,24.25,Low
4075,Brazil,Sweet potatoes,1991,101504,1761,58349.44,25.06,Low
4076,Brazil,Sweet potatoes,1992,104452,1761,67003.89,21.35,Low
4077,Brazil,Sweet potatoes,1992,104452,1761,67003.89,20.21,Low
4078,Brazil,Sweet potatoes,1992,104452,1761,67003.89,17.8,Low
4079,Brazil,Sweet potatoes,1992,104452,1761,67003.89,17.8,Low
4080,Brazil,Sweet potatoes,1992,104452,1761,67003.89,27.58,Low
4081,Brazil,Sweet potatoes,1992,104452,1761,67003.89,20.21,Low
4082,Brazil,Sweet potatoes,1992,104452,1761,67003.89,27.42,Low
4083,Brazil,Sweet potatoes,1992,104452,1761,67003.89,18.72,Low
4084,Brazil,Sweet potatoes,1992,104452,1761,67003.89,25.61,Low
4085,Brazil,Sweet potatoes,1992,104452,1761,67003.89,24.24,Low
4086,Brazil,Sweet potatoes,1992,104452,1761,67003.89,24.97,Low
4087,Brazil,Sweet potatoes,1993,107920,1761,75658.33,21.94,Low
4088,Brazil,Sweet potatoes,1993,107920,1761,75658.33,20.49,Low
4089,Brazil,Sweet potatoes,1993,107920,1761,75658.33,17.93,Low
4090,Brazil,Sweet potatoes,1993,107920,1761,75658.33,17.93,Low
4091,Brazil,Sweet potatoes,1993,107920,1761,75658.33,28.18,Low
4092,Brazil,Sweet potatoes,1993,107920,1761,75658.33,20.49,Low
4093,Brazil,Sweet potatoes,1993,107920,1761,75658.33,26.89,Low
4094,Brazil,Sweet potatoes,1993,107920,1761,75658.33,18.69,Low
4095,Brazil,Sweet potatoes,1993,107920,1761,75658.33,26.06,Low
4096,Brazil,Sweet potatoes,1993,107920,1761,75658.33,24.65,Low
4097,Brazil,Sweet potatoes,1993,107920,1761,75658.33,25.41,Low
4098,Brazil,Sweet potatoes,1994,113070,1761,84312.78,21.91,Low
4099,Brazil,Sweet potatoes,1994,113070,1761,84312.78,20.77,Low
4100,Brazil,Sweet potatoes,1994,113070,1761,84312.78,18.42,Low
4101,Brazil,Sweet potatoes,1994,113070,1761,84312.78,18.42,Low
4102,Brazil,Sweet potatoes,1994,113070,1761,84312.78,27.53,Low
4103,Brazil,Sweet potatoes,1994,113070,1761,84312.78,20.77,Low
4104,Brazil,Sweet potatoes,1994,113070,1761,84312.78,26.9,Low
4105,Brazil,Sweet potatoes,1994,113070,1761,84312.78,19.15,Low
4106,Brazil,Sweet potatoes,1994,113070,1761,84312.78,26.05,Low
4107,Brazil,Sweet potatoes,1994,113070,1761,84312.78,24.71,Low
4108,Brazil,Sweet potatoes,1994,113070,1761,84312.78,25.42,Low
4109,Brazil,Sweet potatoes,1995,110676,1761,92967.22,22.07,Low
4110,Brazil,Sweet potatoes,1995,110676,1761,92967.22,20.61,Low
4111,Brazil,Sweet potatoes,1995,110676,1761,92967.22,18.27,Low
4112,Brazil,Sweet potatoes,1995,110676,1761,92967.22,18.27,Low
4113,Brazil,Sweet potatoes,1995,110676,1761,92967.22,27.52,Low
4114,Brazil,Sweet potatoes,1995,110676,1761,92967.22,20.61,Low
4115,Brazil,Sweet potatoes,1995,110676,1761,92967.22,27.34,Low
4116,Brazil,Sweet potatoes,1995,110676,1761,92967.22,18.89,Low
4117,Brazil,Sweet potatoes,1995,110676,1761,92967.22,26.05,Low
4118,Brazil,Sweet potatoes,1995,110676,1761,92967.22,24.77,Low
4119,Brazil,Sweet potatoes,1995,110676,1761,92967.22,25.65,Low
4120,Brazil,Sweet potatoes,1996,86415,1761,101621.67,21.56,Low
4121,Brazil,Sweet potatoes,1996,86415,1761,101621.67,20.18,Low
4122,Brazil,Sweet potatoes,1996,86415,1761,101621.67,17.83,Low
4123,Brazil,Sweet potatoes,1996,86415,1761,101621.67,17.83,Low
4124,Brazil,Sweet potatoes,1996,86415,1761,101621.67,27.6,Low
4125,Brazil,Sweet potatoes,1996,86415,1761,101621.67,20.18,Low
4126,Brazil,Sweet potatoes,1996,86415,1761,101621.67,27.07,Low
4127,Brazil,Sweet potatoes,1996,86415,1761,101621.67,18.63,Low
4128,Brazil,Sweet potatoes,1996,86415,1761,101621.67,25.94,Low
4129,Brazil,Sweet potatoes,1996,86415,1761,101621.67,24.28,Low
4130,Brazil,Sweet potatoes,1996,86415,1761,101621.67,25.45,Low
4131,Brazil,Sweet potatoes,1997,98387,1761,110276.11,21.91,Low
4132,Brazil,Sweet potatoes,1997,98387,1761,110276.11,20.77,Low
4133,Brazil,Sweet potatoes,1997,98387,1761,110276.11,18.36,Low
4134,Brazil,Sweet potatoes,1997,98387,1761,110276.11,18.36,Low
4135,Brazil,Sweet potatoes,1997,98387,1761,110276.11,27.85,Low
4136,Brazil,Sweet potatoes,1997,98387,1761,110276.11,20.77,Low
4137,Brazil,Sweet potatoes,1997,98387,1761,110276.11,27.57,Low
4138,Brazil,Sweet potatoes,1997,98387,1761,110276.11,19.12,Low
4139,Brazil,Sweet potatoes,1997,98387,1761,110276.11,25.96,Low
4140,Brazil,Sweet potatoes,1997,98387,1761,110276.11,24.71,Low
4141,Brazil,Sweet potatoes,1997,98387,1761,110276.11,25.2,Low
4142,Brazil,Sweet potatoes,1998,103928,1761,118930.56,22.35,Low
4143,Brazil,Sweet potatoes,1998,103928,1761,118930.56,20.71,Low
